peak_id,peak_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id
MOJC,Mojca,6024,Climbed,1974,Yugoslavia,MOJC74301
PLNG,Palung,7012,Climbed,1952,New Zealand,PLNG52101
TUTS,Tutse,6758,Unclimbed,NA,NA,NA
NUPE,Nuptse East I,7795,Climbed,2003,Russia,NUPE03301
AMOT,Amotsang,6393,Unclimbed,NA,NA,NA
YANS,Yansa Tsenji,6567,Unclimbed,NA,NA,NA
HIMJ,Himjung,7092,Climbed,2012,S Korea,HIMJ12301
AMPH,Amphu I,6740,Climbed,2013,S Korea,AMPH13301
CHAB,Chabuk,6792,Unclimbed,NA,NA,NA
CHAK,Chako,6704,Climbed,2007,"Japan, Nepal",CHAK07201
DOMK,Dome Kang,7264,Climbed,2009,"Spain, Nepal",DOMK09101
GHAN,Ghhanyala Hies,6744,Unclimbed,NA,NA,NA
HUNK,Hunku,6119,Climbed,2012,UK,HUNK12302
JANK,Janak Chuli,7041,Climbed,2006,Slovenia,JANK06101
KABS,Kabru South,7318,Climbed,1994,India,KABS94101
KABR,Kabru Main,7412,Climbed,1994,India,KABR94101
LASH,Lashar I,6842,Climbed,2005,Slovenia,LASH05301
LAS2,Lashar II,6803,Unclimbed,NA,NA,NA
NAG2,Nangpai Gosum II,7287,Unclimbed,NA,NA,NA
NANG,Nangamari I,6547,Climbed,2010,Australia,NANG10301
PANB,Panbari,6905,Climbed,2006,Japan,PANB06301
PHNH,Phungi Himal,6538,Climbed,2017,Russia,PHNH17301
MARI,Mariyang,6528,Unclimbed,NA,NA,NA
TKRG,Takargo,6771,Climbed,2010,USA,TKRG10101
THUL,Thulagi,7059,Climbed,2015,Russia,THUL15301
JOMS,Jomsom Himal,6335,Climbed,2003,"France, Nepal",JOMS03301
BAMO,Bamongo,6406,Climbed,2013,"Nepal, China",BAMO13301
CHAW,Chaw Peak,6404,Unclimbed,NA,NA,NA
DING,Dingjung North,6249,Climbed,1955,UK,DING55101
KNAG,Kang Nagchugo,6737,Climbed,2008,USA,KNAG08301
KBON,Konabon,6570,Unclimbed,NA,NA,NA
KHAM,Khamjung,6759,Climbed,1982,Japan,NA
KYR1,Kyungka Ri 1,6599,Climbed,2017,S Korea,KYR117301
KYR2,Kyungka Ri 2,6506,Unclimbed,NA,NA,NA
KOJI,Kojichuwa Chuli,6439,Climbed,2010,Japan,KOJI10101
CHIV,Chhiv Himal,6650,Climbed,2004,Japan,CHIV04301
LMOC,Langmoche Ri,6552,Climbed,2012,USA,LMOC12301
LCHA,Lachama Chuli,6721,Climbed,2007,Japan,LCHA07301
PAN1,Panpoche 1,6620,Unclimbed,NA,NA,NA
PAN2,Panpoche 2,6504,Unclimbed,NA,NA,NA
